id,trim,subTrim,condition,isOneOwner,mileage,age,color,disp_cont,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount, price 
5215,550,unsp,New,False,9,1,Black,4.6,Gasoline,NJ,Mid,Premium,Alloy,unsp,64," $98,325.00 "
5219,550,unsp,New,False,16,1,Black,4.6,Gasoline,NY,Mid,Premium,Alloy,unsp,71," $102,825.00 "
5223,550,unsp,New,False,13,2,Black,4.6,Gasoline,MO,WNC,unsp,Alloy,18,52," $108,745.00 "
5224,550,unsp,New,False,16,2,Black,4.6,Gasoline,PA,Mid,Premium,Alloy,unsp,69," $112,000.00 "
5228,550,unsp,New,False,10,1,Black,4.6,unsp,NY,Mid,Premium,Alloy,unsp,57," $104,340.00 "
5231,550,unsp,New,False,17,1,White,4.6,Gasoline,IL,ENC,unsp,unsp,18,118," $108,240.00 "
5232,550,unsp,New,False,10,1,White,4.6,Gasoline,MD,SoA,unsp,unsp,unsp,79," $103,620.00 "
5235,63 AMG,unsp,New,False,23,1,Gray,5.5,unsp,FL,SoA,unsp,unsp,unsp,1," $198,175.00 "
5237,550,unsp,New,False,39,1,Black,4.7,unsp,CA,Pac,unsp,unsp,unsp,1," $149,575.00 "
5238,550,unsp,New,False,28,1,White,uns,unsp,TX,WSC,unsp,unsp,19,96," $139,810.00 "
5239,550,unsp,New,False,3,1,Black,uns,unsp,AR,WSC,unsp,unsp,unsp,0," $142,870.00 "
5242,550,unsp,New,False,71,1,Black,4.7,Gasoline,PA,Mid,Premium,Alloy,19,79," $146,925.00 "
5243,550,unsp,New,False,24,1,Black,4.7,Gasoline,NJ,Mid,Premium,Alloy,20,78," $149,575.00 "
5244,550,unsp,New,False,23,1,Black,4.7,Gasoline,WI,ENC,unsp,unsp,19,97," $143,675.00 "
5245,550,unsp,New,False,14,1,White,uns,unsp,CA,Pac,unsp,unsp,unsp,8," $149,710.00 "
5249,320,unsp,Used,False,103653,19,White,3.2,Gasoline,WA,Pac,unsp,unsp,unsp,6," $3,850.00 "
5252,420,unsp,Used,False,168702,19,Black,4.2,Gasoline,KY,ESC,Premium,Alloy,unsp,21," $1,700.00 "
5253,420,unsp,Used,False,106000,18,White,4.2,Gasoline,FL,SoA,unsp,Alloy,unsp,36," $5,995.00 "
5254,500,unsp,Used,False,158170,21,Silver,5,Gasoline,FL,SoA,unsp,unsp,unsp,1," $4,000.00 "
5256,500,unsp,Used,False,101077,19,Black,5,Gasoline,TX,WSC,unsp,unsp,unsp,0," $7,995.00 "
5258,600,unsp,Used,False,88800,20,Silver,6,Gasoline,WA,Pac,Premium,unsp,unsp,32," $10,881.00 "
5260,350,unsp,Used,False,76146,10,Silver,3.7,Gasoline,FL,SoA,Bose,Alloy,17,41," $14,950.00 "
5264,430,unsp,Used,False,52200,14,Black,4.3,Gasoline,ID,Mtn,unsp,unsp,unsp,5," $11,995.00 "
5265,430,unsp,Used,False,112920,12,Black,4.3,Gasoline,TX,WSC,Boston Acoustic,Alloy,17,44," $10,895.00 "
